Company Name,Company Address,Phone Number,Email Address
Rakuten Advertising,"1-18-15 Heiwa-dori, Nakagyo-ku, Kyoto, Japan",+81-52-1356-7487,info@rakutenadvertising.jp
Asahi Entertainment,"10-3-2 Takeshita-dori, Aoba-ku, Sendai, Japan",+81-82-6644-2044,info@asahientertainment.com
Japan Productions,"5-14-6 Omotesando-dori, Nishi-ku, Yokohama, Japan",+81-11-7887-7135,info@japanproductions.jp
NTT Tourism 64,"9-5-12 Meiji-dori, Shinsaibashi, Osaka, Japan",+81-6-3924-9802,info@ntttourism64.jp
Rakuten Contents,"1-25-1 Yaesu-dori, Aoba-ku, Sendai, Japan",+81-52-8585-9920,info@rakutencontents.jp
Nintendo Tourism,"8-12-5 Yaesu-dori, Toshima-ku, Tokyo, Japan",+81-52-4088-2848,info@nintendotourism.co.jp
NHK Advertising,"4-7-3 Shinjuku-dori, Chuo-ku, Fukuoka, Japan",+81-6-1550-8314,info@nhkadvertising.com
Victor Broadcasting,"1-13-15 Shin-dori, Toshima-ku, Tokyo, Japan",+81-22-9843-4559,info@victorbroadcasting.co.jp
Osaka Lifestyle,"10-11-19 Yaesu-dori, Sumida-ku, Tokyo, Japan",+81-78-6253-4881,info@osakalifestyle.jp
Nikkei Cosmetics,"4-14-10 Kaigan-dori, Chuo-ku, Kobe, Japan",+81-52-1998-3869,info@nikkeicosmetics.com
Victor Marketing,"1-12-13 Odori, Naka-ku, Nagoya, Japan",+81-75-6222-7821,info@victormarketing.jp
Osaka Holdings,"9-16-8 Ginza-dori, Shinsaibashi, Osaka, Japan",+81-22-5927-3365,info@osakaholdings.jp
Japan Animation,"9-17-5 Kokusai-dori, Shimogyo-ku, Kyoto, Japan",+81-82-4978-5177,info@japananimation.co.jp
Sharp Records,"2-18-7 Higashiyama-dori, Nakagyo-ku, Kyoto, Japan",+81-3-5398-7179,info@sharprecords.com
Avex Management,"4-26-19 Meiji-dori, Shibuya-ku, Tokyo, Japan",+81-75-4555-8854,info@avexmanagement.co.jp
Yomiuri Games,"4-30-7 Shinjuku-dori, Sumida-ku, Tokyo, Japan",+81-6-8846-4974,info@yomiurigames.com
Avex Technologies,"9-11-10 Yaesu-dori, Shinsaibashi, Osaka, Japan",+81-82-8639-9743,info@avextechnologies.com
Hitachi Holdings,"9-29-16 Higashiyama-dori, Koto-ku, Tokyo, Japan",+81-45-2615-8692,info@hitachiholdings.jp
Sakura Travel,"1-19-8 Kokusai-dori, Namba, Osaka, Japan",+81-11-1265-5272,info@sakuratravel.com
Bandai Idol Agency,"5-5-7 Kokusai-dori, Aoba-ku, Sendai, Japan",+81-92-4768-7223,info@bandaiidolagency.com
Asahi Foods,"6-9-16 Kokkaido-dori, Nishi-ku, Yokohama, Japan",+81-45-8550-3756,info@asahifoods.com
NHK Digital,"9-16-6 Aoyama-dori, Shinagawa-ku, Tokyo, Japan",+81-75-1962-9584,info@nhkdigital.co.jp
Asahi Productions,"1-14-5 Omotesando-dori, Chuo-ku, Kobe, Japan",+81-22-2113-3474,info@asahiproductions.co.jp
Sakura Lifestyle,"1-20-20 Higashiyama-dori, Nakagyo-ku, Kyoto, Japan",+81-45-8993-1257,info@sakuralifestyle.co.jp
Nintendo Animation,"1-17-9 Shinjuku-dori, Shimogyo-ku, Kyoto, Japan",+81-75-5697-1280,info@nintendoanimation.com
Asahi Marketing,"2-17-5 Sotobori-dori, Shinagawa-ku, Tokyo, Japan",+81-22-4144-9625,info@asahimarketing.jp
Asahi Digital,"2-12-13 Motomachi-dori, Koto-ku, Tokyo, Japan",+81-45-4984-4700,info@asahidigital.jp
Victor Records,"1-3-13 Itchome-dori, Chuo-ku, Sapporo, Japan",+81-82-7179-8798,info@victorrecords.co.jp
Pony Entertainment,"2-16-14 Ginza-dori, Naka-ku, Hiroshima, Japan",+81-92-2562-9653,info@ponyentertainment.co.jp
Tsubaki Technologies,"8-9-2 Heiwa-dori, Naka-ku, Hiroshima, Japan",+81-6-5593-9897,info@tsubakitechnologies.com
Victor Media,"1-7-19 Sanjo-dori, Shinagawa-ku, Tokyo, Japan",+81-11-7525-2260,info@victormedia.jp
Fuji Anime,"7-22-18 Heiwa-dori, Toshima-ku, Tokyo, Japan",+81-92-7288-3292,info@fujianime.com
Hakuhodo Records,"6-2-4 Shin-dori, Naka-ku, Yokohama, Japan",+81-82-4803-2245,info@hakuhodorecords.jp
Avex Promotion,"6-1-9 Motomachi-dori, Chuo-ku, Fukuoka, Japan",+81-45-9038-4737,info@avexpromotion.jp
Nintendo Tourism 95,"10-22-13 Ginza-dori, Shimogyo-ku, Kyoto, Japan",+81-6-5839-5037,info@nintendotourism95.com
Nihon Records,"7-23-5 Aoyama-dori, Koto-ku, Tokyo, Japan",+81-82-6188-6909,info@nihonrecords.co.jp
Nihon Entertainment,"6-25-9 Hakata-eki Mae, Sumida-ku, Tokyo, Japan",+81-6-3170-2430,info@nihonentertainment.co.jp
Fujitsu Sports,"9-14-4 Kokkaido-dori, Naka-ku, Nagoya, Japan",+81-3-2468-6798,info@fujitsusports.com
Nihon Management,"7-1-10 Sanjo-dori, Chuo-ku, Fukuoka, Japan",+81-82-7353-2387,info@nihonmanagement.com
Nikkei Animation,"9-6-13 Heiwa-dori, Toshima-ku, Tokyo, Japan",+81-11-3274-5405,info@nikkeianimation.jp
Sony Retail,"3-14-9 Meiji-dori, Chuo-ku, Tokyo, Japan",+81-82-5911-8933,info@sonyretail.co.jp
Hitachi Beverages,"8-20-20 Shin-dori, Toshima-ku, Tokyo, Japan",+81-22-8501-2752,info@hitachibeverages.co.jp
Panasonic Entertainment,"10-13-11 Sanjo-dori, Shinsaibashi, Osaka, Japan",+81-45-6484-8055,info@panasonicentertainment.com
Avex Contents,"10-23-7 Sanjo-dori, Sumida-ku, Tokyo, Japan",+81-45-6147-3910,info@avexcontents.jp
Sharp Capital,"8-19-8 Hibiya-dori, Aoba-ku, Sendai, Japan",+81-92-7161-5592,info@sharpcapital.jp
Hitachi Agency,"10-18-6 Takeshita-dori, Hakata-ku, Fukuoka, Japan",+81-75-1440-8563,info@hitachiagency.com
Sakura Sports,"2-27-14 Hibiya-dori, Sumida-ku, Tokyo, Japan",+81-45-3280-5961,info@sakurasports.co.jp
Sony Cosmetics,"7-3-15 Kokusai-dori, Naka-ku, Hiroshima, Japan",+81-78-8851-7566,info@sonycosmetics.com
Rakuten Advertising 109,"6-23-18 Omotesando-dori, Naka-ku, Nagoya, Japan",+81-78-2392-2791,info@rakutenadvertising109.co.jp
Victor Digital,"10-2-19 Itchome-dori, Shinagawa-ku, Tokyo, Japan",+81-82-6432-8052,info@victordigital.co.jp
Nippon Creative Works,"9-24-17 Yaesu-dori, Koto-ku, Tokyo, Japan",+81-75-4621-8303,info@nipponcreativeworks.jp
Toshiba Distribution,"9-5-12 Heiwa-dori, Chuo-ku, Kobe, Japan",+81-3-8909-2712,info@toshibadistribution.jp
Fujitsu Records,"3-12-10 Shin-dori, Chiyoda-ku, Tokyo, Japan",+81-92-8460-4389,info@fujitsurecords.com
Softbank Digital,"8-24-15 Sotobori-dori, Nishi-ku, Yokohama, Japan",+81-92-2100-5919,info@softbankdigital.co.jp
NHK Agency 115,"2-22-6 Sanjo-dori, Shinjuku-ku, Tokyo, Japan",+81-22-9454-3858,info@nhkagency115.com
Fuji Games,"8-8-13 Kokusai-dori, Naka-ku, Nagoya, Japan",+81-11-4053-8080,info@fujigames.jp
Nippon Promotion,"10-14-13 Hakata-eki Mae, Bunkyo-ku, Tokyo, Japan",+81-3-4519-4371,info@nipponpromotion.jp
TBS Productions,"9-6-12 Sotobori-dori, Hakata-ku, Fukuoka, Japan",+81-92-4228-8496,info@tbsproductions.co.jp
Sony Retail 119,"6-20-13 Itchome-dori, Naka-ku, Yokohama, Japan",+81-78-7431-2871,info@sonyretail119.jp
Hitachi Distribution,"5-30-20 Ginza-dori, Chuo-ku, Fukuoka, Japan",+81-78-2388-3194,info@hitachidistribution.jp
Tokyo Foods,"3-12-5 Sotobori-dori, Sumida-ku, Tokyo, Japan",+81-75-7364-7852,info@tokyofoods.com
Osaka Anime,"3-16-18 Kokusai-dori, Shinsaibashi, Osaka, Japan",+81-11-3733-9022,info@osakaanime.jp
Osaka Fashion,"10-2-12 Hakata-eki Mae, Namba, Osaka, Japan",+81-3-8939-3236,info@osakafashion.co.jp
Asahi Tourism,"8-14-16 Kaigan-dori, Naka-ku, Nagoya, Japan",+81-82-8272-9006,info@asahitourism.co.jp
Nihon Anime,"5-2-9 Yaesu-dori, Shinjuku-ku, Tokyo, Japan",+81-22-9808-5729,info@nihonanime.co.jp
TBS Distribution,"8-18-17 Shin-dori, Hakata-ku, Fukuoka, Japan",+81-6-2871-5389,info@tbsdistribution.com
Asahi Travel,"8-18-7 Omotesando-dori, Naka-ku, Nagoya, Japan",+81-82-2677-5055,info@asahitravel.jp
Yomiuri Media,"6-28-3 Midosuji-dori, Nakagyo-ku, Kyoto, Japan",+81-45-2923-4882,info@yomiurimedia.co.jp
NHK Idol Agency,"10-21-14 Higashiyama-dori, Naka-ku, Hiroshima, Japan",+81-11-3281-4385,info@nhkidolagency.co.jp
NHK Broadcasting,"9-9-20 Higashiyama-dori, Hakata-ku, Fukuoka, Japan",+81-75-3758-6302,info@nhkbroadcasting.com
Panasonic Capital,"9-29-4 Midosuji-dori, Hakata-ku, Fukuoka, Japan",+81-11-7743-1971,info@panasoniccapital.jp
Yomiuri Contents,"4-5-11 Aoyama-dori, Naka-ku, Hiroshima, Japan",+81-22-7434-9019,info@yomiuricontents.co.jp
Bandai Events,"7-13-15 Itchome-dori, Koto-ku, Tokyo, Japan",+81-6-2525-7600,info@bandaievents.com
Hakuhodo Finance,"8-16-11 Higashiyama-dori, Naka-ku, Hiroshima, Japan",+81-78-1040-2526,info@hakuhodofinance.com
NTT Events,"6-28-3 Hibiya-dori, Chuo-ku, Kobe, Japan",+81-75-7516-4568,info@nttevents.jp
Asahi Technologies,"6-27-10 Midosuji-dori, Nishi-ku, Yokohama, Japan",+81-92-9967-3139,info@asahitechnologies.com
Yomiuri Retail,"1-2-4 Sumida-dori, Namba, Osaka, Japan",+81-45-1266-3035,info@yomiuriretail.co.jp
NTT Distribution,"4-23-5 Kokusai-dori, Shinjuku-ku, Tokyo, Japan",+81-52-3604-5489,info@nttdistribution.co.jp
Pony Travel,"6-22-6 Meiji-dori, Koto-ku, Tokyo, Japan",+81-3-7493-6005,info@ponytravel.com
Dentsu Communications,"2-23-4 Itchome-dori, Shimogyo-ku, Kyoto, Japan",+81-3-4496-8812,info@dentsucommunications.co.jp
Osaka Idol Agency,"8-1-1 Kaigan-dori, Toshima-ku, Tokyo, Japan",+81-92-2975-7919,info@osakaidolagency.com
Osaka Logistics,"7-3-4 Yaesu-dori, Minato-ku, Tokyo, Japan",+81-6-6133-7022,info@osakalogistics.jp
Osaka Tourism,"3-3-17 Itchome-dori, Chuo-ku, Tokyo, Japan",+81-78-1138-3688,info@osakatourism.jp
Hitachi Technologies,"3-30-14 Shin-dori, Chuo-ku, Sapporo, Japan",+81-78-8248-4559,info@hitachitechnologies.co.jp
Nikkei Creative Works,"10-24-13 Sotobori-dori, Chuo-ku, Tokyo, Japan",+81-92-8035-6152,info@nikkeicreativeworks.co.jp
Tsubaki Finance,"4-18-20 Meiji-dori, Chuo-ku, Sapporo, Japan",+81-78-5668-1439,info@tsubakifinance.com
Nikkei Holdings 147,"10-17-7 Kaigan-dori, Bunkyo-ku, Tokyo, Japan",+81-82-5842-1894,info@nikkeiholdings147.co.jp
Softbank Tourism,"8-21-20 Yaesu-dori, Chiyoda-ku, Tokyo, Japan",+81-6-9655-1197,info@softbanktourism.jp
Sharp Contents,"7-12-18 Heiwa-dori, Shinsaibashi, Osaka, Japan",+81-11-8717-2195,info@sharpcontents.co.jp
Bandai Productions,"4-2-2 Midosuji-dori, Shinjuku-ku, Tokyo, Japan",+81-82-9300-5693,info@bandaiproductions.com
Dentsu Lifestyle,"7-3-18 Kokusai-dori, Shimogyo-ku, Kyoto, Japan",+81-75-3501-5546,info@dentsulifestyle.co.jp
Panasonic Records,"3-18-11 Takeshita-dori, Naka-ku, Yokohama, Japan",+81-82-2083-6081,info@panasonicrecords.com
Fujitsu Foods,"2-30-14 Yaesu-dori, Shibuya-ku, Tokyo, Japan",+81-6-8428-1901,info@fujitsufoods.jp
Victor Fashion,"3-23-1 Shinjuku-dori, Chiyoda-ku, Tokyo, Japan",+81-11-9133-6680,info@victorfashion.com
Rakuten Beverages,"3-24-9 Higashiyama-dori, Shinagawa-ku, Tokyo, Japan",+81-6-1480-6488,info@rakutenbeverages.jp
Sony Wellness,"10-21-3 Midosuji-dori, Minato-ku, Tokyo, Japan",+81-45-8457-9368,info@sonywellness.jp
Japan Retail,"6-6-9 Ginza-dori, Hakata-ku, Fukuoka, Japan",+81-6-2889-4742,info@japanretail.com
Rakuten Entertainment,"4-2-16 Shinjuku-dori, Shibuya-ku, Tokyo, Japan",+81-92-7274-3458,info@rakutenentertainment.co.jp
Yomiuri Media 159,"7-8-11 Hibiya-dori, Naka-ku, Nagoya, Japan",+81-22-7819-6241,info@yomiurimedia159.jp
Asahi Productions 160,"2-17-2 Higashiyama-dori, Hakata-ku, Fukuoka, Japan",+81-11-4656-9450,info@asahiproductions160.co.jp
Toshiba Productions,"5-11-3 Namba-dori, Nakagyo-ku, Kyoto, Japan",+81-75-8483-1130,info@toshibaproductions.jp
Sakura Capital 162,"10-8-15 Namba-dori, Hakata-ku, Fukuoka, Japan",+81-92-9083-4201,info@sakuracapital162.com
Nikkei Culture,"1-30-14 Aoyama-dori, Toshima-ku, Tokyo, Japan",+81-3-4817-9872,info@nikkeiculture.jp
Pony Entertainment 164,"7-28-10 Shinjuku-dori, Namba, Osaka, Japan",+81-6-4361-9680,info@ponyentertainment164.co.jp
Fujitsu Retail,"5-3-2 Aoyama-dori, Shibuya-ku, Tokyo, Japan",+81-22-9515-7767,info@fujitsuretail.com
Nikkei Travel,"2-19-4 Shin-dori, Nakagyo-ku, Kyoto, Japan",+81-75-3187-7461,info@nikkeitravel.co.jp
Bandai Anime,"3-8-10 Kokusai-dori, Shibuya-ku, Tokyo, Japan",+81-52-6161-7438,info@bandaianime.com
Asahi Industries,"5-8-3 Hakata-eki Mae, Namba, Osaka, Japan",+81-22-3230-2785,info@asahiindustries.co.jp
Tokyo Beauty,"6-14-4 Hakata-eki Mae, Nakagyo-ku, Kyoto, Japan",+81-75-6870-4401,info@tokyobeauty.jp
Panasonic Distribution 170,"2-6-10 Sotobori-dori, Koto-ku, Tokyo, Japan",+81-78-1660-4522,info@panasonicdistribution170.jp
Osaka Records,"6-13-17 Yaesu-dori, Naka-ku, Hiroshima, Japan",+81-3-5896-5262,info@osakarecords.co.jp
Nippon Publishing,"9-8-4 Kokkaido-dori, Nakagyo-ku, Kyoto, Japan",+81-45-2669-3290,info@nipponpublishing.co.jp
Nippon Broadcasting,"4-27-13 Aoyama-dori, Toshima-ku, Tokyo, Japan",+81-92-2376-5240,info@nipponbroadcasting.co.jp
Nippon Productions,"8-26-5 Itchome-dori, Bunkyo-ku, Tokyo, Japan",+81-6-6432-3007,info@nipponproductions.co.jp
NTT Broadcasting,"7-27-13 Heiwa-dori, Shinagawa-ku, Tokyo, Japan",+81-45-1483-7270,info@nttbroadcasting.com
Fujitsu Fashion,"3-9-9 Takeshita-dori, Umeda, Osaka, Japan",+81-45-3435-1567,info@fujitsufashion.com
Avex Promotion 177,"5-16-14 Itchome-dori, Toshima-ku, Tokyo, Japan",+81-75-8848-1999,info@avexpromotion177.co.jp
Sony Tourism,"4-21-17 Kokusai-dori, Chuo-ku, Tokyo, Japan",+81-22-9907-1319,info@sonytourism.jp
NHK Digital 179,"8-12-19 Kokkaido-dori, Nishi-ku, Yokohama, Japan",+81-75-6269-7363,info@nhkdigital179.jp
Fuji Music,"4-1-9 Chuo-dori, Namba, Osaka, Japan",+81-3-8728-9674,info@fujimusic.jp
TBS Idol Agency,"2-8-8 Ginza-dori, Toshima-ku, Tokyo, Japan",+81-52-9743-1916,info@tbsidolagency.co.jp
Bandai Tourism,"3-8-19 Ginza-dori, Umeda, Osaka, Japan",+81-92-6878-1462,info@bandaitourism.com
Dentsu Digital,"3-19-7 Heiwa-dori, Hakata-ku, Fukuoka, Japan",+81-45-9882-6063,info@dentsudigital.co.jp
Softbank Media,"4-20-8 Omotesando-dori, Minato-ku, Tokyo, Japan",+81-3-9625-8831,info@softbankmedia.co.jp
Sharp Promotion,"6-23-6 Aoyama-dori, Bunkyo-ku, Tokyo, Japan",+81-92-1975-1359,info@sharppromotion.co.jp
Bandai Cosmetics 186,"6-3-12 Kaigan-dori, Chiyoda-ku, Tokyo, Japan",+81-82-2655-6514,info@bandaicosmetics186.jp
Sharp Contents 187,"7-26-16 Shin-dori, Shinagawa-ku, Tokyo, Japan",+81-92-3854-6846,info@sharpcontents187.co.jp
Victor Idol Agency,"5-24-10 Motomachi-dori, Shinagawa-ku, Tokyo, Japan",+81-11-3911-1029,info@victoridolagency.com
Bandai Publishing,"3-20-11 Omotesando-dori, Hakata-ku, Fukuoka, Japan",+81-78-4619-2705,info@bandaipublishing.jp
Osaka Games,"4-12-11 Meiji-dori, Aoba-ku, Sendai, Japan",+81-11-2453-6500,info@osakagames.jp
Nippon Beverages,"2-12-9 Yaesu-dori, Bunkyo-ku, Tokyo, Japan",+81-6-1020-1788,info@nipponbeverages.jp
NTT Advertising,"8-29-13 Kokusai-dori, Shinagawa-ku, Tokyo, Japan",+81-92-9946-7149,info@nttadvertising.co.jp
Asahi Logistics,"4-6-15 Itchome-dori, Hakata-ku, Fukuoka, Japan",+81-6-1547-5831,info@asahilogistics.co.jp
Sharp Beverages,"6-6-13 Meiji-dori, Chiyoda-ku, Tokyo, Japan",+81-11-2228-9962,info@sharpbeverages.co.jp
Sharp Management,"1-14-6 Odori, Chuo-ku, Fukuoka, Japan",+81-78-8113-3573,info@sharpmanagement.co.jp
Tokyo Games,"7-23-18 Takeshita-dori, Bunkyo-ku, Tokyo, Japan",+81-75-5346-5612,info@tokyogames.jp
Tsubaki Creative Works,"10-18-16 Motomachi-dori, Shibuya-ku, Tokyo, Japan",+81-11-1893-6911,info@tsubakicreativeworks.co.jp
Fujitsu Records 198,"10-16-7 Sumida-dori, Sumida-ku, Tokyo, Japan",+81-6-1421-4390,info@fujitsurecords198.co.jp
Pony Capital,"2-10-13 Odori, Minato-ku, Tokyo, Japan",+81-45-9013-5341,info@ponycapital.co.jp
Pony Culture,"6-29-13 Ginza-dori, Shinsaibashi, Osaka, Japan",+81-92-4056-8303,info@ponyculture.co.jp
