user_id,age,gender,height_cm,weight_kg,bmi,bmi_category,fitness_level,primary_goal,equipment,injuries
user_0069,47,female,169.5,47.2,16.44,underweight,Expert,muscle_gain,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0070,33,male,177.3,94.6,30.1,obese,Intermediate,weight_loss,Bodyweight,none
user_0071,32,male,158.9,77.8,30.79,obese,Intermediate,strength,"Bodyweight,Dumbbell,Barbell,Cable",lower_back
user_0072,47,male,177.6,86.7,27.5,overweight,Expert,strength,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0073,46,female,153.1,46.2,19.69,normal,Expert,endurance,"Bodyweight,Dumbbell",none
user_0074,48,female,167.2,65.6,23.46,normal,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell",none
user_0075,51,female,165.0,66.2,24.3,normal,Intermediate,muscle_gain,Bodyweight,none
user_0076,33,female,157.6,64.8,26.1,overweight,Beginner,endurance,Bodyweight,wrist
user_0077,62,male,177.9,64.3,20.31,normal,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0078,47,female,177.9,67.7,21.38,normal,Beginner,general_fitness,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0079,55,male,163.1,84.8,31.9,obese,Intermediate,endurance,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0080,40,female,155.2,71.4,29.66,overweight,Intermediate,endurance,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0081,52,male,186.6,62.7,18.01,underweight,Intermediate,muscle_gain,"Bodyweight,Dumbbell,Barbell,Cable","wrist,knee"
user_0082,47,male,184.6,81.2,23.82,normal,Expert,endurance,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0083,60,male,183.2,103.5,30.82,obese,Beginner,weight_loss,"Bodyweight,Dumbbell,Barbell,Cable","wrist,shoulder"
user_0084,31,female,161.0,53.0,20.42,normal,Intermediate,general_fitness,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0085,44,female,155.9,52.2,21.49,normal,Expert,strength,"Bodyweight,Dumbbell,Barbell,Machine,Cable","knee,lower_back"
user_0086,59,male,174.2,80.1,26.39,overweight,Intermediate,general_fitness,"Bodyweight,Dumbbell",none
user_0087,57,male,177.8,87.4,27.66,overweight,Beginner,weight_loss,Bodyweight,none
user_0088,31,female,163.1,79.4,29.86,overweight,Intermediate,endurance,"Bodyweight,Dumbbell",none
user_0089,63,male,172.4,115.8,38.98,obese,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell",shoulder
user_0090,54,female,168.0,51.7,18.32,underweight,Beginner,strength,Bodyweight,none
user_0091,58,male,164.3,82.2,30.47,obese,Beginner,endurance,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0092,54,male,172.8,85.7,28.72,overweight,Beginner,weight_loss,"Bodyweight,Dumbbell,Barbell","lower_back,wrist"
user_0093,49,male,179.7,73.9,22.88,normal,Intermediate,muscle_gain,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0094,45,male,166.5,52.3,18.85,normal,Intermediate,general_fitness,"Bodyweight,Dumbbell,Barbell",none
user_0095,52,female,159.4,72.3,28.44,overweight,Intermediate,endurance,"Bodyweight,Dumbbell,Barbell,Machine,Cable",lower_back
user_0096,35,female,164.7,47.1,17.34,underweight,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell,Machine,Cable",none
user_0097,39,male,176.7,80.8,25.86,overweight,Intermediate,weight_loss,"Bodyweight,Dumbbell,Barbell,Cable",none
user_0098,34,female,155.9,63.8,26.26,overweight,Beginner,muscle_gain,"Bodyweight,Dumbbell,Barbell",none
user_0099,51,male,175.6,57.9,18.77,normal,Beginner,general_fitness,"Bodyweight,Dumbbell,Barbell,Cable",none
