Company Name,Company Address,Phone Number,Email Address
Star Beverages,"267 Hongdae-ro, Bundang-gu, Seongnam, South Korea",+82-44-381-8206,contact@starbeverages.co.kr
Hanwha Holdings,"172 Hongdae-ro, Yongsan-gu, Seoul, South Korea",+82-70-182-3267,contact@hanwhaholdings.co.kr
Global Publishing,"110 Yeoksam-ro, Nam-gu, Ulsan, South Korea",+82-61-517-6421,contact@globalpublishing.com
SK Marketing,"216 Itaewon-ro, Mapo-gu, Seoul, South Korea",+82-2-7232-8814,contact@skmarketing.co.kr
Hyundai Industries,"276 Gwanghwamun-ro, Jung-gu, Busan, South Korea",+82-70-919-4613,contact@hyundaiindustries.kr
Global Capital,"15 Yonsei-ro, Nam-gu, Incheon, South Korea",+82-53-784-7624,contact@globalcapital.com
K Logistics,"274 Dosan-daero, Yeongdeungpo-gu, Seoul, South Korea",+82-55-706-1444,contact@klogistics.co.kr
Doosan Sports,"94 Songpa-daero, Yeongdeungpo-gu, Seoul, South Korea",+82-51-488-6363,contact@doosansports.co.kr
SK Gaming,"143 Jungang-daero, Haeundae-gu, Busan, South Korea",+82-61-358-2341,contact@skgaming.kr
Seoul Productions,"333 Sinchon-ro, Busanjin-gu, Busan, South Korea",+82-31-872-1508,contact@seoulproductions.co.kr
Neo Media Group,"123 Yeoksam-ro, Paldal-gu, Suwon, South Korea",+82-63-785-2874,contact@neomediagroup.com
Neo Logistics,"189 Hongdae-ro, Nam-gu, Ulsan, South Korea",+82-33-896-3683,contact@neologistics.kr
Joseon Media Group,"347 Seocho-daero, Seongbuk-gu, Seoul, South Korea",+82-55-506-4249,contact@joseonmediagroup.co.kr
Hanjin Beverages,"155 Nonhyeon-ro, Jung-gu, Seoul, South Korea",+82-33-915-1672,contact@hanjinbeverages.kr
CJ Sports,"36 Haeundaehaebyeon-ro, Jeju-si, Jeju, South Korea",+82-53-112-7882,contact@cjsports.kr
Joseon Sports,"236 Ichon-ro, Busanjin-gu, Busan, South Korea",+82-41-545-3885,contact@joseonsports.com
Naver Capital,"248 Digital-ro, Paldal-gu, Suwon, South Korea",+82-61-945-5397,contact@navercapital.kr
Global Creative Studio,"125 Songpa-daero, Gwangjin-gu, Seoul, South Korea",+82-62-683-7209,contact@globalcreativestudio.kr
Seoul Lifestyle,"250 Apgujeong-ro, Haeundae-gu, Busan, South Korea",+82-54-916-5232,contact@seoullifestyle.kr
Star Capital,"265 Teheran-ro, Seo-gu, Gwangju, South Korea",+82-32-347-7658,contact@starcapital.kr
CJ Beverages,"331 Yonsei-ro, Nam-gu, Ulsan, South Korea",+82-63-558-1282,contact@cjbeverages.co.kr
Daewoo Foods 84,"125 Nonhyeon-ro, Jung-gu, Busan, South Korea",+82-54-584-9698,contact@daewoofoods84.kr
LG Digital,"233 Nonhyeon-ro, Busanjin-gu, Busan, South Korea",+82-52-357-4777,contact@lgdigital.co.kr
Shinsegae Technologies,"275 Eulji-ro, Haeundae-gu, Busan, South Korea",+82-42-296-4545,contact@shinsegaetechnologies.com
Kakao Capital,"269 Seocho-daero, Masanhappo-gu, Changwon, South Korea",+82-52-202-4180,contact@kakaocapital.kr
Global Tourism,"8 Insadong-gil, Seocho-gu, Seoul, South Korea",+82-70-229-5494,contact@globaltourism.co.kr
Korea Holdings,"327 Yeoksam-ro, Nam-gu, Ulsan, South Korea",+82-63-205-1200,contact@koreaholdings.com
Daewoo Retail,"175 Songpa-daero, Jung-gu, Daegu, South Korea",+82-31-358-8827,contact@daewooretail.co.kr
Hanguk Advertising,"296 Sejongno, Jung-gu, Daegu, South Korea",+82-31-255-3444,contact@hangukadvertising.com
Daewoo Creative Studio,"286 Eulji-ro, Yongsan-gu, Seoul, South Korea",+82-61-720-4697,contact@daewoocreativestudio.com
Samsung Distribution,"302 Insadong-gil, Yeonsu-gu, Incheon, South Korea",+82-52-682-1986,contact@samsungdistribution.com
Shinsegae Agency,"109 Ichon-ro, Songpa-gu, Seoul, South Korea",+82-32-260-4929,contact@shinsegaeagency.co.kr
CJ Records,"210 Teheran-ro, Seocho-gu, Seoul, South Korea",+82-63-398-1534,contact@cjrecords.co.kr
Daewoo Holdings,"37 Songpa-daero, Nam-gu, Ulsan, South Korea",+82-44-370-4241,contact@daewooholdings.kr
Joseon Foods,"137 Yeoksam-ro, Bundang-gu, Seongnam, South Korea",+82-41-173-1977,contact@joseonfoods.co.kr
Daewoo Holdings 98,"240 Eulji-ro, Yeonsu-gu, Incheon, South Korea",+82-52-816-7594,contact@daewooholdings98.kr
Naver Lifestyle,"307 Sejongno, Yeonsu-gu, Incheon, South Korea",+82-61-852-6280,contact@naverlifestyle.com
Star Media Group,"346 Sinchon-ro, Jongno-gu, Seoul, South Korea",+82-2-5415-1659,contact@starmediagroup.co.kr
Kakao Culture,"143 Songpa-daero, Bundang-gu, Seongnam, South Korea",+82-61-750-9056,contact@kakaoculture.co.kr
Kakao Travel,"165 Seollung-ro, Nam-gu, Incheon, South Korea",+82-33-978-3634,contact@kakaotravel.kr
LG Lifestyle,"206 Namdaemun-ro, Seongbuk-gu, Seoul, South Korea",+82-70-137-8451,contact@lglifestyle.co.kr
Lotte Finance,"207 Eulji-ro, Haeundae-gu, Busan, South Korea",+82-64-944-1018,contact@lottefinance.com
CJ Logistics,"97 Gangnam-daero, Nam-gu, Incheon, South Korea",+82-54-737-9167,contact@cjlogistics.com
SK Productions,"282 Hongdae-ro, Songpa-gu, Seoul, South Korea",+82-52-548-8941,contact@skproductions.co.kr
Seoul Beverages,"160 Apgujeong-ro, Nam-gu, Ulsan, South Korea",+82-2-7684-2527,contact@seoulbeverages.co.kr
Joseon Logistics,"79 Ichon-ro, Jung-gu, Seoul, South Korea",+82-52-621-5479,contact@joseonlogistics.kr
Kakao Retail,"283 Songpa-daero, Yongsan-gu, Seoul, South Korea",+82-55-295-9327,contact@kakaoretail.com
Hallyu Records,"175 Gwanghwamun-ro, Gwangjin-gu, Seoul, South Korea",+82-64-373-1042,contact@hallyurecords.kr
Shinsegae Industries,"338 Seocho-daero, Yuseong-gu, Daejeon, South Korea",+82-41-557-9824,contact@shinsegaeindustries.kr
Hyundai Digital,"194 Digital-ro, Seo-gu, Gwangju, South Korea",+82-53-990-4090,contact@hyundaidigital.com
Global Publishing 113,"23 Gwanghwamun-ro, Yongsan-gu, Seoul, South Korea",+82-63-822-7246,contact@globalpublishing113.kr
Posco Beauty,"65 Gangnam-daero, Jung-gu, Daegu, South Korea",+82-53-990-2644,contact@poscobeauty.kr
Joseon Culture,"74 Teheran-ro, Yeonsu-gu, Incheon, South Korea",+82-41-176-8692,contact@joseonculture.kr
Lotte Advertising,"169 Sejongno, Bundang-gu, Seongnam, South Korea",+82-70-489-6188,contact@lotteadvertising.com
Hanwha Lifestyle,"317 Gangnam-daero, Seo-gu, Gwangju, South Korea",+82-44-746-5708,contact@hanwhalifestyle.co.kr
Shinsegae Creative Studio 118,"325 Eulji-ro, Nam-gu, Incheon, South Korea",+82-33-554-3725,contact@shinsegaecreativestudio118.com
Daewoo Media Group,"29 Seollung-ro, Mapo-gu, Seoul, South Korea",+82-54-483-8056,contact@daewoomediagroup.co.kr
Global Culture,"350 Seocho-daero, Nam-gu, Incheon, South Korea",+82-42-274-3868,contact@globalculture.co.kr
Kumho Publishing,"124 Namdaemun-ro, Paldal-gu, Suwon, South Korea",+82-41-337-8555,contact@kumhopublishing.com
Star Logistics 122,"5 Namdaemun-ro, Gwangjin-gu, Seoul, South Korea",+82-62-394-9955,contact@starlogistics122.co.kr
Hanguk Distribution,"154 Seocho-daero, Busanjin-gu, Busan, South Korea",+82-61-806-5097,contact@hangukdistribution.kr
Daewoo Technologies,"55 Yonsei-ro, Jung-gu, Busan, South Korea",+82-55-685-6881,contact@daewootechnologies.com
Daewoo Holdings 125,"203 Namdaemun-ro, Gangnam-gu, Seoul, South Korea",+82-2-1803-9138,contact@daewooholdings125.kr
KT Foods,"113 Haeundaehaebyeon-ro, Paldal-gu, Suwon, South Korea",+82-43-735-5106,contact@ktfoods.com
KT Cosmetics 127,"322 Eulji-ro, Bundang-gu, Seongnam, South Korea",+82-31-416-8222,contact@ktcosmetics127.co.kr
Hanjin Tourism,"47 Yeoksam-ro, Masanhappo-gu, Changwon, South Korea",+82-52-434-7807,contact@hanjintourism.co.kr
Neo Cosmetics,"272 Haeundaehaebyeon-ro, Seo-gu, Gwangju, South Korea",+82-51-950-3695,contact@neocosmetics.kr
Kakao Holdings,"59 Seollung-ro, Masanhappo-gu, Changwon, South Korea",+82-32-244-4696,contact@kakaoholdings.com
Shinsegae Advertising,"47 Haeundaehaebyeon-ro, Seo-gu, Gwangju, South Korea",+82-55-114-5332,contact@shinsegaeadvertising.com
Joseon Logistics 132,"345 Namdaemun-ro, Busanjin-gu, Busan, South Korea",+82-55-942-7086,contact@joseonlogistics132.co.kr
Posco Foods,"318 Teheran-ro, Jung-gu, Daegu, South Korea",+82-70-435-4626,contact@poscofoods.com
Hanguk Logistics,"333 Insadong-gil, Nam-gu, Ulsan, South Korea",+82-33-243-1742,contact@hanguklogistics.co.kr
Daewoo Lifestyle,"121 Eulji-ro, Jung-gu, Seoul, South Korea",+82-70-238-7367,contact@daewoolifestyle.kr
Hyundai Marketing,"80 Banpo-daero, Yuseong-gu, Daejeon, South Korea",+82-61-770-2622,contact@hyundaimarketing.kr
Kumho Marketing,"190 Gangnam-daero, Gwangjin-gu, Seoul, South Korea",+82-62-555-4868,contact@kumhomarketing.kr
Joseon Tourism,"184 Ichon-ro, Seo-gu, Gwangju, South Korea",+82-55-382-4109,contact@joseontourism.co.kr
SK Creative Studio,"329 Itaewon-ro, Jeju-si, Jeju, South Korea",+82-2-1828-6464,contact@skcreativestudio.co.kr
Hallyu Communications,"107 Digital-ro, Jongno-gu, Seoul, South Korea",+82-43-932-4817,contact@hallyucommunications.kr
KT Beauty,"142 Teheran-ro, Paldal-gu, Suwon, South Korea",+82-41-233-9850,contact@ktbeauty.kr
K Content,"68 Teheran-ro, Jeju-si, Jeju, South Korea",+82-54-908-4898,contact@kcontent.com
Lotte Media Group,"27 Hongdae-ro, Seocho-gu, Seoul, South Korea",+82-61-638-2862,contact@lottemediagroup.com
Hanguk Retail,"263 Haeundaehaebyeon-ro, Yeonsu-gu, Incheon, South Korea",+82-33-562-9254,contact@hangukretail.co.kr
Kumho Broadcasting,"267 Namdaemun-ro, Masanhappo-gu, Changwon, South Korea",+82-62-758-1510,contact@kumhobroadcasting.co.kr
Kakao Advertising,"56 Namdaemun-ro, Nam-gu, Incheon, South Korea",+82-62-175-2323,contact@kakaoadvertising.kr
Kumho Beauty,"141 Yeoksam-ro, Jongno-gu, Seoul, South Korea",+82-70-829-6327,contact@kumhobeauty.kr
Kumho Culture,"259 Songpa-daero, Seongbuk-gu, Seoul, South Korea",+82-61-201-2874,contact@kumhoculture.com
Doosan Communications,"117 Songpa-daero, Nam-gu, Incheon, South Korea",+82-53-947-8430,contact@doosancommunications.kr
LG Agency,"161 Gwanghwamun-ro, Haeundae-gu, Busan, South Korea",+82-51-483-3500,contact@lgagency.com
Kakao Records,"48 Sejongno, Jongno-gu, Seoul, South Korea",+82-33-862-7105,contact@kakaorecords.co.kr
CJ Productions,"288 Digital-ro, Yuseong-gu, Daejeon, South Korea",+82-33-520-6793,contact@cjproductions.com
KT Sports,"148 Gangnam-daero, Masanhappo-gu, Changwon, South Korea",+82-52-460-2697,contact@ktsports.com
Naver Communications,"247 Namdaemun-ro, Yeongdeungpo-gu, Seoul, South Korea",+82-33-458-7022,contact@navercommunications.co.kr
KT Capital 155,"220 Sinchon-ro, Yuseong-gu, Daejeon, South Korea",+82-70-885-1430,contact@ktcapital155.com
Posco Capital,"140 Apgujeong-ro, Gangnam-gu, Seoul, South Korea",+82-52-447-6751,contact@poscocapital.co.kr
K Beauty,"206 Namdaemun-ro, Yuseong-gu, Daejeon, South Korea",+82-41-858-1502,contact@kbeauty.co.kr
Shinsegae Culture,"215 Jungang-daero, Songpa-gu, Seoul, South Korea",+82-53-261-7062,contact@shinsegaeculture.kr
Shinsegae Gaming 159,"44 Dosan-daero, Yuseong-gu, Daejeon, South Korea",+82-31-259-3579,contact@shinsegaegaming159.com
Korea Creative Studio 160,"339 Songpa-daero, Gwangjin-gu, Seoul, South Korea",+82-63-721-8242,contact@koreacreativestudio160.kr
Star Communications 161,"177 Eulji-ro, Suseong-gu, Daegu, South Korea",+82-33-390-8972,contact@starcommunications161.com
Posco Industries,"203 Sinchon-ro, Mapo-gu, Seoul, South Korea",+82-31-107-4349,contact@poscoindustries.kr
Neo Cosmetics 163,"168 Insadong-gil, Gwangjin-gu, Seoul, South Korea",+82-2-9149-8055,contact@neocosmetics163.co.kr
Hallyu Publishing,"118 Nonhyeon-ro, Seo-gu, Gwangju, South Korea",+82-70-953-6802,contact@hallyupublishing.co.kr
Samsung Broadcasting,"236 Teheran-ro, Nam-gu, Incheon, South Korea",+82-32-982-6129,contact@samsungbroadcasting.com
LG Advertising,"214 Ichon-ro, Nam-gu, Ulsan, South Korea",+82-33-514-1341,contact@lgadvertising.kr
K Logistics 167,"46 Haeundaehaebyeon-ro, Nam-gu, Ulsan, South Korea",+82-33-349-8138,contact@klogistics167.com
Samsung Culture,"159 Jungang-daero, Jongno-gu, Seoul, South Korea",+82-53-326-6456,contact@samsungculture.co.kr
Hanguk Wellness 169,"272 Eulji-ro, Bundang-gu, Seongnam, South Korea",+82-43-894-6724,contact@hangukwellness169.kr
Shinsegae Beauty,"75 Eulji-ro, Yongsan-gu, Seoul, South Korea",+82-43-277-3504,contact@shinsegaebeauty.com
Hanguk Electronics,"238 Yonsei-ro, Bundang-gu, Seongnam, South Korea",+82-62-797-6295,contact@hangukelectronics.com
Lotte Beauty,"241 Sejongno, Yeonsu-gu, Incheon, South Korea",+82-52-915-5500,contact@lottebeauty.com
Korea Travel,"159 Sejongno, Suseong-gu, Daegu, South Korea",+82-62-138-1932,contact@koreatravel.kr
Daewoo Records,"315 Sejongno, Bundang-gu, Seongnam, South Korea",+82-64-493-8581,contact@daewoorecords.com
CJ Broadcasting,"334 Seocho-daero, Yeonsu-gu, Incheon, South Korea",+82-53-719-8792,contact@cjbroadcasting.com
Hallyu Productions,"176 Eulji-ro, Yeonsu-gu, Incheon, South Korea",+82-32-616-3827,contact@hallyuproductions.co.kr
Global Distribution,"268 Mapo-daero, Yeonsu-gu, Incheon, South Korea",+82-42-472-7108,contact@globaldistribution.kr
Samsung Marketing,"307 Namdaemun-ro, Haeundae-gu, Busan, South Korea",+82-53-167-6401,contact@samsungmarketing.co.kr
CJ Publishing,"337 Hongdae-ro, Seongbuk-gu, Seoul, South Korea",+82-41-441-2335,contact@cjpublishing.com
Posco Beauty 180,"336 Insadong-gil, Busanjin-gu, Busan, South Korea",+82-55-232-2388,contact@poscobeauty180.kr
CJ Publishing 181,"66 Seollung-ro, Bundang-gu, Seongnam, South Korea",+82-64-195-7937,contact@cjpublishing181.com
Hyundai Media Group,"93 Insadong-gil, Busanjin-gu, Busan, South Korea",+82-53-884-8967,contact@hyundaimediagroup.co.kr
Global Cosmetics,"152 Sejongno, Yeongdeungpo-gu, Seoul, South Korea",+82-33-619-9843,contact@globalcosmetics.com
Naver Broadcasting,"317 Seollung-ro, Jeju-si, Jeju, South Korea",+82-55-257-3658,contact@naverbroadcasting.co.kr
Hanwha Fashion,"23 Songpa-daero, Masanhappo-gu, Changwon, South Korea",+82-54-792-4891,contact@hanwhafashion.kr
Kumho Holdings,"120 Songpa-daero, Masanhappo-gu, Changwon, South Korea",+82-44-416-8684,contact@kumhoholdings.co.kr
Hyundai Distribution,"196 Insadong-gil, Yeonsu-gu, Incheon, South Korea",+82-64-528-3655,contact@hyundaidistribution.co.kr
Kumho Cosmetics,"329 Gangnam-daero, Gwangjin-gu, Seoul, South Korea",+82-54-667-2680,contact@kumhocosmetics.com
Naver Content,"83 Sejongno, Seongbuk-gu, Seoul, South Korea",+82-62-625-3414,contact@navercontent.kr
Hanguk Foods,"14 Haeundaehaebyeon-ro, Yeonsu-gu, Incheon, South Korea",+82-31-505-9224,contact@hangukfoods.kr
Global Publishing 191,"115 Haeundaehaebyeon-ro, Jongno-gu, Seoul, South Korea",+82-53-201-6493,contact@globalpublishing191.co.kr
Hallyu Broadcasting,"72 Yonsei-ro, Seongbuk-gu, Seoul, South Korea",+82-63-559-1086,contact@hallyubroadcasting.co.kr
Seoul Finance,"281 Yeoksam-ro, Songpa-gu, Seoul, South Korea",+82-64-533-2821,contact@seoulfinance.kr
Global Industries,"123 Gangnam-daero, Jung-gu, Seoul, South Korea",+82-62-164-2816,contact@globalindustries.kr
Kumho Media Group 195,"295 Mapo-daero, Bundang-gu, Seongnam, South Korea",+82-41-398-8032,contact@kumhomediagroup195.co.kr
Kumho Travel,"214 Seocho-daero, Yongsan-gu, Seoul, South Korea",+82-32-636-6908,contact@kumhotravel.co.kr
Naver Wellness,"11 Digital-ro, Suseong-gu, Daegu, South Korea",+82-63-144-7338,contact@naverwellness.kr
Star Media Group 198,"177 Sejongno, Busanjin-gu, Busan, South Korea",+82-33-890-6447,contact@starmediagroup198.co.kr
Korea Travel 199,"330 Seollung-ro, Seo-gu, Gwangju, South Korea",+82-62-812-8840,contact@koreatravel199.com
K Cosmetics,"235 Nonhyeon-ro, Jongno-gu, Seoul, South Korea",+82-52-306-1717,contact@kcosmetics.co.kr
